n_of_reviews,avg_review_rating,avg_days_between_reviews,max_days_between_reviews,min_days_between_reviews,product_ID,cluster_ID,pagerank,eigenvector_cent,clustering_coef,w_degree,fake_score,fake
182,4.203296703296704,18.83977900552486,400.0,0.0,1410,15,0.0008221424512246,1.9190825805817535e-06,0.0871496924128503,85.0,0.06,0
289,4.595155709342561,14.17361111111111,422.0,0.0,1453,15,0.0008173188982962,1.0637937610150288e-05,0.0662122687439143,86.0,0.07,0
134,4.402985074626866,31.1203007518797,393.0,0.0,1463,15,0.0005642569982554,8.85194506666668e-06,0.0859903381642512,55.0,0.07,0
366,4.3469945355191255,10.02191780821918,365.0,0.0,1462,15,0.0006261737189087,7.079238268519108e-06,0.0489795918367346,61.0,0.05,0
210,4.114285714285714,20.67464114832536,419.0,0.0,1457,15,0.0007238710085677,3.663943198142656e-06,0.0850293984622342,75.0,0.03,0
243,3.8271604938271606,19.60330578512396,557.0,0.0,1438,15,0.0005180838351744,3.5816063051785406e-06,0.0666666666666666,49.0,0.02,0
227,4.493392070484582,15.969026548672558,491.0,0.0,1459,15,0.0005233596014277,5.346505564171329e-06,0.0878048780487804,49.0,0.06,0
353,3.7790368271954673,10.167613636363637,440.0,0.0,1464,15,0.0004098759368876,1.810607771974842e-06,0.0602150537634408,35.0,0.07,0
117,4.333333333333333,30.715517241379303,326.0,0.0,1484,15,0.0006159924030673,7.1400042180180444e-06,0.1355695317959468,61.0,0.07,0
352,4.014204545454546,13.51851851851852,536.0,0.0,1498,15,0.0007460335334036,1.1452585543073325e-07,0.0485875706214689,74.0,0.07,0
259,4.33976833976834,15.011627906976736,583.0,0.0,1509,15,0.0006069391019626,3.645277182532088e-06,0.0545454545454545,62.0,0.03,0
232,4.758620689655173,19.4069264069264,459.0,0.0,1506,15,0.0006200908487588,1.9003044451107688e-06,0.1184210526315789,67.0,0.1,0
196,4.576530612244898,25.73333333333333,287.0,0.0,1504,15,0.0006998679117318,1.919693591285111e-06,0.1224043715846994,72.0,0.04,0
261,4.153256704980843,12.530769230769224,471.0,0.0,1523,15,0.0007059476240755,8.871823769764479e-06,0.0598870056497175,71.0,0.03,0
228,4.118421052631579,18.18942731277532,511.0,0.0,1531,15,0.0005596873674457,3.582450939442723e-06,0.0663265306122449,54.0,0.02,0
306,3.986928104575163,12.39344262295081,457.0,0.0,1556,15,0.0008568525408789,2.7435387414502076e-06,0.0983086680761099,95.0,0.06,0
259,4.328185328185328,13.255813953488367,295.0,0.0,1569,15,0.0007843487679534,1.686421008457977e-07,0.0629890453834115,82.0,0.07,0
259,4.486486486486487,17.430232558139526,524.0,0.0,1586,15,0.0004399746029252,7.445136610940055e-08,0.0698412698412698,39.0,0.11,0
186,4.489247311827957,25.94054054054053,297.0,0.0,1600,15,0.0009922737406225,1.902634270559861e-06,0.1385154880187025,113.0,0.08,0
505,4.0,9.960317460317452,327.0,0.0,1602,15,0.0007511629528412,1.0621473237523154e-05,0.0655935613682092,78.0,0.04,0
135,4.481481481481482,31.35074626865672,279.0,0.0,1601,15,0.0010316590432695,1.976701619403124e-07,0.1431911163062536,117.0,0.16,0
371,4.498652291105121,9.548648648648646,493.0,0.0,1620,15,0.0006425066485015,7.086938680203751e-06,0.0505050505050505,63.0,0.06,0
262,4.278625954198473,13.042145593869725,645.0,0.0,1633,15,0.0005102039985215,3.6301574490974415e-06,0.1151716500553709,49.0,0.03,0
362,3.696132596685083,11.58171745152354,315.0,0.0,1634,15,0.0007382318294468,1.00911845585737e-06,0.0571428571428571,74.0,0.05,0
199,4.321608040201005,14.04040404040404,301.0,0.0,1638,15,0.0006155327332263,1.8712595405655173e-06,0.0774349667271627,60.0,0.02,0
258,4.434108527131783,16.217898832684813,566.0,0.0,1660,15,0.0005532322497466,1.849049664347936e-06,0.100177304964539,52.0,0.03,0
185,4.621621621621622,21.04891304347825,385.0,0.0,1664,15,0.0004778388443887,8.830500810896973e-06,0.091025641025641,45.0,0.08,0
224,4.709821428571429,17.408071748878925,651.0,0.0,1663,15,0.0005737058267088,1.9069001611880824e-06,0.0832562442183163,56.0,0.06,0
282,4.666666666666667,13.519572953736654,735.0,0.0,1699,15,0.0005012484660814,1.8354428346573249e-06,0.0658536585365853,47.0,0.07,0
596,3.577181208053691,8.433613445378148,356.0,0.0,1714,15,0.0008379104864376,6.135697838414162e-06,0.0582793709528214,91.0,0.05,0
218,4.275229357798165,20.322580645161285,503.0,0.0,1721,15,0.0008968786861346,6.117626100912061e-06,0.0707450444292549,95.0,0.04,0
356,4.258426966292135,13.55492957746478,414.0,0.0,1720,15,0.0009775392101583,3.7325541941915295e-06,0.0635451505016722,105.0,0.05,0
242,4.723140495867769,17.1701244813278,449.0,0.0,1748,15,0.0004430241215513,1.8342136167270776e-06,0.078272604588394,40.0,0.08,0
416,4.165865384615385,9.650602409638552,451.0,0.0,1751,15,0.0004903421650807,1.8392413220770905e-06,0.06006006006006,46.0,0.03,0
427,4.473067915690867,10.47887323943662,317.0,0.0,1760,15,0.000898305150261,7.207466334294028e-06,0.0812616947340283,100.0,0.07,0
262,4.461832061068702,15.96168582375478,507.0,0.0,1762,15,0.0004851991649451,1.8251852786488167e-06,0.0611664295874822,45.0,0.03,0
313,4.456869009584665,14.407051282051274,508.0,0.0,1761,15,0.0006619190637558,5.3947731701993885e-06,0.0561075394506136,66.0,0.05,0
359,3.370473537604457,10.88268156424581,420.0,0.0,1773,15,0.0022822954096976,1.5724898151179744e-07,0.0798519301956636,425.0,0.19,0
243,4.489711934156379,16.77272727272727,326.0,0.0,1779,15,0.0006132914141954,1.8841548602762404e-06,0.061038961038961,60.0,0.04,0
504,3.208333333333333,7.701789264413518,403.0,0.0,1788,15,0.0009142334598493,5.428166768134995e-06,0.0605278255880665,97.0,0.06,0
662,3.787009063444109,7.502269288956123,513.0,0.0,1795,15,0.0008874233987509,4.56087451960108e-06,0.0901898734177215,94.0,0.06,0
548,4.078467153284672,8.314442413162697,298.0,0.0,1804,15,0.0005920781295598,1.0587383675879317e-05,0.0517647058823529,56.0,0.03,0
129,4.155038759689923,33.3125,591.0,0.0,1810,15,0.0013278456292151,2.0440083004528067e-06,0.1613526570048309,176.0,0.12,0
344,3.8372093023255816,13.262390670553936,315.0,0.0,1812,15,0.002052706772062,6.919844520129686e-06,0.0996078431372549,398.0,0.18,0
524,3.223282442748092,8.659655831739954,303.0,0.0,1825,15,0.0004932250193683,8.673937215871483e-08,0.0465116279069767,46.0,0.05,0
436,4.598623853211009,9.5287356321839,723.0,0.0,1836,15,0.0007026040709734,1.2948136755151726e-07,0.0581730769230769,71.0,0.11,0
363,4.101928374655647,11.033149171270718,294.0,0.0,1837,15,0.0007533277501098,1.8992224382528377e-06,0.0749007936507936,77.0,0.05,0
315,4.355555555555555,13.197452229299364,310.0,0.0,1838,15,0.0005680913439413,6.027776821433198e-06,0.0625942684766214,55.0,0.03,0
296,4.152027027027027,16.274576271186437,666.0,0.0,1877,15,0.0008698512391538,3.668670162141544e-06,0.0650103519668737,92.0,0.06,0
340,4.317647058823529,12.156342182890844,297.0,0.0,1894,15,0.000910582241642,3.685630705658951e-06,0.0786516853932584,98.0,0.06,0
